dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0021,nzd0181-0022,nzd0181-0023,nzd0181-0014,nzd0181-0018,nzd0181-0019,nzd0181-0020
2014-03-29 22:05:52.007000,L8,402.13,387.83,339.55,320.06,315.27,315.76,316.88,308.77,324.07,328.61,336.67,343.21,346.09,338.18,313.02,304.54,332.98,309.22,275.37,290.77,332.73,341.84,338.61,353.94
2014-03-29 22:06:15.961000,L8,406.55,389.75,343.47,325.57,332.74,319.67,320.73,310.51,325.86,331.87,338.70,346.18,347.86,341.12,314.11,308.30,338.03,310.63,276.02,293.69,344.29,342.32,339.78,354.85
2014-04-30 22:05:22.578000,L8,161.19,307.22,320.89,,,,,,,,,,,,293.51,281.27,309.49,290.78,,,,333.78,329.63,343.39
2014-04-30 22:05:46.536000,L8,257.40,330.06,339.83,323.11,308.78,312.56,313.82,310.74,325.21,327.60,336.62,340.04,342.57,334.42,310.92,301.49,329.20,309.76,274.13,284.47,309.60,349.78,344.68,357.33
2014-05-16 22:05:09.831000,L8,172.12,307.48,320.47,,,,,,,,,,,,292.47,282.26,310.87,197.11,,,,334.65,331.43,345.28
2014-06-17 22:05:20.950000,L8,142.28,307.80,319.59,276.59,,,,,,,,,,,299.02,284.18,314.59,294.66,,,,338.70,333.95,348.71
2014-06-17 22:05:44.904000,L8,,,,,,,,,,,,,,,299.33,283.73,315.42,293.42,,,,338.45,334.15,348.42
2014-08-04 22:05:38.545000,L8,,,,,317.62,310.34,300.33,324.48,311.33,315.03,333.36,329.27,341.90,329.84,300.03,305.07,321.14,304.85,258.50,279.89,338.59,344.61,336.98,357.21
2014-08-20 22:05:42.763000,L8,,,,,,,,,,,,,,,,,304.84,147.30,,,,329.77,326.02,340.57
2014-08-20 22:06:06.726000,L8,,,,,,,,,,,,,,,,,304.32,145.03,,,,329.24,325.19,339.48
2014-10-07 22:05:49.968000,L8,142.24,299.11,306.81,276.93,,,,,,,,,,,288.55,279.17,305.52,284.30,,,,329.04,327.21,337.75
2014-11-08 22:05:52.173000,L8,385.69,332.64,341.14,327.97,320.45,317.81,319.68,310.00,328.38,329.12,337.30,339.97,341.57,338.03,314.79,310.66,325.06,315.30,265.45,287.45,303.48,342.93,343.66,353.87
2014-11-08 22:06:16.124000,L8,387.83,333.04,340.63,329.06,319.49,318.14,318.51,309.47,327.56,329.28,336.74,339.46,340.45,337.07,314.08,310.33,323.89,314.07,264.13,286.67,303.49,342.03,342.41,352.85
2015-02-28 22:05:24.487000,L8,399.65,324.37,334.99,319.25,302.38,308.27,310.86,305.07,322.87,327.57,333.92,340.02,343.24,336.15,311.19,303.29,327.02,319.62,276.44,283.12,313.98,344.43,342.16,357.49
2015-02-28 22:05:48.437000,L8,402.61,326.23,336.18,321.90,302.57,310.71,311.39,305.86,323.08,329.60,334.75,340.44,344.10,338.13,311.13,305.51,327.09,321.09,276.39,283.48,315.90,344.55,341.30,357.26
2015-03-16 22:05:13.611000,L8,237.81,313.59,328.96,292.46,299.06,296.78,297.78,294.60,,,,,,,,284.04,316.96,305.18,267.82,281.71,,342.60,347.60,350.12
2015-04-01 22:05:01.841000,L8,200.54,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01 22:05:25.791000,L8,216.28,300.55,317.32,,,,,,,,,,,,,,,292.07,,,,,328.34,336.01
2015-05-19 22:04:40.718000,L8,,,,,,,,,,,,,,,293.66,280.75,308.01,251.18,,,,331.60,330.15,345.35
