dates,satname,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
2025-01-30 22:07:20.065000,L9,357.25,356.68,359.01,345.40,336.46,337.35,334.98,,,,320.82,329.30,334.12,335.18,322.96,336.27,353.42,367.96,361.32
2025-02-07 22:07:17.137000,L8,350.80,344.75,345.45,338.94,328.95,324.67,323.32,,,,313.49,323.15,324.63,326.73,316.26,326.87,299.79,359.87,348.51
2025-02-23 22:07:07.365000,L8,350.71,347.85,349.38,341.25,332.43,326.69,326.64,,,,317.96,325.61,331.11,333.41,321.01,331.77,348.81,362.84,352.89
2025-03-19 22:07:06.727000,L9,349.28,345.58,350.39,344.48,333.49,331.86,328.69,,,,310.42,318.55,324.03,327.67,315.97,328.27,343.40,323.24,350.36
2025-04-12 22:06:48.304000,L8,357.05,370.88,369.59,367.94,361.66,355.00,352.56,337.33,333.25,332.22,329.60,336.97,339.40,339.99,323.68,342.69,358.55,369.63,363.77
2025-05-06 22:06:54.456000,L9,356.57,360.46,356.69,354.86,337.92,336.29,331.89,,,320.64,320.64,324.65,326.54,329.03,316.78,327.09,300.35,356.65,345.95
2025-05-14 22:06:38.478000,L8,344.25,347.33,343.95,338.91,328.95,324.75,316.78,,,,,,,,,,,,
2025-05-22 22:06:43.734000,L9,353.80,361.04,358.87,350.02,338.42,338.43,333.07,,,322.22,322.31,325.81,327.21,330.48,318.29,327.21,301.07,356.40,346.43
2025-05-30 22:06:42.533000,L8,352.55,360.45,355.85,350.89,337.47,333.03,329.54,,,320.16,322.39,324.53,325.34,328.41,316.70,329.79,300.65,352.42,345.81
2025-06-23 22:06:54.196000,L9,350.77,357.74,356.11,354.70,337.95,335.63,332.88,,,,312.52,320.68,317.31,320.48,310.69,318.01,,,
2025-07-25 22:07:06.294000,L9,344.89,348.67,348.02,340.78,331.40,326.87,322.12,,,,,,,,,,,,
2025-08-02 22:07:09.825000,L8,346.49,355.80,352.90,344.07,334.87,330.36,324.74,,,,,,,,,,,,
2025-08-10 22:07:16.143000,L9,373.93,377.65,370.64,366.79,357.83,354.05,344.82,331.81,330.52,331.55,330.55,335.82,335.93,336.46,327.36,330.15,309.51,320.38,356.60
2025-08-26 22:07:21.236000,L9,351.99,357.46,353.64,350.18,340.11,333.90,330.35,,,318.20,318.58,324.14,325.61,330.21,315.44,323.83,298.34,357.78,349.75
2025-09-19 22:07:27.204000,L8,365.92,374.44,369.45,367.51,361.25,351.72,354.06,343.05,341.22,333.20,337.29,337.12,340.54,342.24,331.71,346.27,356.81,369.68,366.60
2025-10-29 22:07:29.182000,L9,340.33,336.48,335.29,331.39,324.88,319.24,,,,,,,,,,,,,
2025-11-06 22:07:31.775000,L8,343.47,340.28,340.08,334.32,326.52,321.97,,,,,,,,,,,,,
2025-11-14 22:07:36.344000,L9,343.27,337.61,337.94,333.93,324.78,320.75,,,,,,,,,,,,,
