dates,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013,satname
2014-02-02 22:00:53+00:00,348.15000000000003,341.1842857142857,345.59222222222223,311.23555555555555,329.61888888888893,328.34666666666664,334.42777777777775,331.0433333333333,332.00444444444446,322.39428571428573,258.85333333333335,188.76,,,L8
2014-02-09 22:06:57+00:00,348.665,341.79875,346.149,313.37,331.171,328.84700000000004,334.78499999999997,331.717,332.387,322.895,258.438,188.76,,,L8
2014-03-06 22:00:25+00:00,347.9533333333333,341.80333333333334,344.9533333333333,312.6111111111111,327.66555555555556,326.84555555555556,333.9588888888889,330.65000000000003,329.72888888888895,322.7088888888889,255.75111111111113,188.76,,,L8
2014-03-22 22:00:13+00:00,347.697,341.809,344.759,312.22799999999995,326.856,326.877,333.944,330.555,329.304,322.444,254.46400000000003,188.76,,,L8
2014-03-29 22:06:15+00:00,347.9481818181818,341.70363636363635,344.6690909090909,312.02363636363634,326.59909090909093,326.99727272727273,334.0190909090909,330.6209090909091,329.3127272727273,322.51272727272726,255.2018181818182,188.76,,,L8
2014-04-30 22:05:46+00:00,347.7425,341.8691666666667,345.0858333333333,312.0458333333333,326.42083333333335,327.5275,334.31583333333333,331.1566666666667,329.83583333333337,322.7658333333333,256.9483333333333,188.76,,,L8
2014-05-09 21:59:27+00:00,347.9553846153846,341.8807692307692,345.22153846153844,311.3646153846154,326.13384615384615,327.70692307692303,334.52461538461534,331.59769230769234,330.0446153846154,323.11,257.35538461538465,188.76,,,L8
2014-08-13 21:59:54+00:00,345.3999999999999,342.08666666666664,344.74499999999995,307.99,322.055,328.77500000000003,335.67333333333335,333.46666666666664,329.3833333333333,322.45,261.27833333333336,,,,L8
2014-09-14 21:59:59+00:00,346.3633333333334,341.86833333333334,344.8316666666667,307.5783333333333,321.93,328.98833333333334,335.465,333.38666666666666,329.37166666666667,322.55833333333334,263.2916666666667,,,,L8
2014-11-08 22:06:16+00:00,342.46000000000004,341.27,342.55,306.2633333333333,319.5466666666667,325.72666666666663,333.5933333333333,330.0,326.06333333333333,319.9066666666667,266.1333333333334,,,,L8
2015-01-04 21:59:53+00:00,342.705,340.65,341.635,306.4625,318.8675,323.7525,332.29499999999996,327.5525,325.185,320.1375,261.375,,,,L8
2015-02-28 22:05:48+00:00,345.9075,340.8175,341.775,306.625,318.055,320.885,331.45000000000005,322.83,323.7525,321.19,259.5775,,,,L8
2015-03-09 21:59:30+00:00,344.68,340.42999999999995,341.102,305.71799999999996,316.554,320.688,331.314,318.964,323.238,320.454,259.04200000000003,,,,L8
